id,mode,provider,bus_type,source,destination,departure_time,arrival_time,duration,price,availability,boarding_point,dropping_point
BS001,bus,RedBus,AC Sleeper,Chennai,Bangalore,2026-05-01T22:30:00+05:30,2026-05-02T05:30:00+05:30,7h,900,available,Koyambedu,Majestic
BS002,bus,VRL Travels,Non-AC Seater,Chennai,Bangalore,2026-05-01T21:00:00+05:30,2026-05-02T06:00:00+05:30,9h,600,available,Tambaram,Electronic City
BS003,bus,SRS Travels,AC Seater,Chennai,Hyderabad,2026-05-02T20:00:00+05:30,2026-05-03T07:00:00+05:30,11h,1200,available,Koyambedu,MGBS
BS004,bus,Orange Travels,AC Sleeper,Chennai,Hyderabad,2026-05-02T22:00:00+05:30,2026-05-03T08:30:00+05:30,10h 30m,1500,available,Guindy,Ameerpet
BS005,bus,KSRTC,Volvo AC,Bangalore,Mysore,2026-05-03T08:00:00+05:30,2026-05-03T11:00:00+05:30,3h,500,available,Majestic,Mysore Bus Stand
BS006,bus,APSRTC,Non-AC Seater,Hyderabad,Vijayawada,2026-05-03T14:00:00+05:30,2026-05-03T20:00:00+05:30,6h,400,available,MGBS,Vijayawada Bus Stand
BS007,bus,TNSTC,Non-AC Seater,Chennai,Coimbatore,2026-05-04T21:30:00+05:30,2026-05-05T06:30:00+05:30,9h,700,available,Koyambedu,Gandhipuram
BS008,bus,Parveen Travels,AC Sleeper,Chennai,Coimbatore,2026-05-04T22:30:00+05:30,2026-05-05T07:00:00+05:30,8h 30m,1300,available,Tambaram,Gandhipuram
BS009,bus,VRL Travels,AC Sleeper,Bangalore,Mumbai,2026-05-05T18:00:00+05:30,2026-05-06T09:00:00+05:30,15h,1800,available,Electronic City,Dadar
BS010,bus,Neeta Travels,AC Seater,Mumbai,Pune,2026-05-05T09:00:00+05:30,2026-05-05T12:30:00+05:30,3h 30m,500,available,Dadar,Swargate
BS011,bus,RSRTC,Non-AC Seater,Jaipur,Delhi,2026-05-06T07:00:00+05:30,2026-05-06T12:00:00+05:30,5h,350,available,Sindhi Camp,Kashmere Gate
BS012,bus,UPSRTC,AC Seater,Delhi,Agra,2026-05-06T08:00:00+05:30,2026-05-06T12:00:00+05:30,4h,400,available,Anand Vihar,Agra Bus Stand
BS013,bus,GSRTC,AC Sleeper,Ahmedabad,Udaipur,2026-05-07T22:00:00+05:30,2026-05-08T06:00:00+05:30,8h,1000,available,Geeta Mandir,Udaipur Bus Stand
BS014,bus,HRTC,Non-AC Seater,Delhi,Shimla,2026-05-07T21:00:00+05:30,2026-05-08T07:00:00+05:30,10h,600,available,ISBT,Shimla Bus Stand
BS015,bus,TNSTC,Non-AC Seater,Madurai,Chennai,2026-05-08T20:00:00+05:30,2026-05-09T06:00:00+05:30,10h,700,available,Mattuthavani,Koyambedu
BS016,bus,KSRTC,AC Sleeper,Bangalore,Goa,2026-05-08T19:00:00+05:30,2026-05-09T07:00:00+05:30,12h,1400,available,Majestic,Panaji
BS017,bus,APSRTC,AC Seater,Hyderabad,Bangalore,2026-05-09T21:00:00+05:30,2026-05-10T07:00:00+05:30,10h,1100,available,MGBS,Majestic
BS018,bus,VRL Travels,AC Sleeper,Pune,Bangalore,2026-05-09T18:00:00+05:30,2026-05-10T08:00:00+05:30,14h,1700,available,Swargate,Electronic City
BS019,bus,RSRTC,Non-AC Seater,Jaipur,Udaipur,2026-05-10T08:00:00+05:30,2026-05-10T16:00:00+05:30,8h,500,available,Sindhi Camp,Udaipur
BS020,bus,UPSRTC,AC Seater,Delhi,Lucknow,2026-05-10T22:00:00+05:30,2026-05-11T08:00:00+05:30,10h,900,available,Anand Vihar,Lucknow
